,,Social,,,,,,,,,,Website,Analytics (Ahref),,,Audences,,,,Functionalities,,,,,,,,,,,,,Website Content for Dentist,,,,,,Patient Content,,
Country,Name,Facebook,Fb Activity,Instagram,Instagram Activity,LinkedIn,LinkedIn Activity,Twitter,Twitter Activity,YouTube,YouTube Activity,,Domain Rating,Backlinks,# Linking Web,Dentists,Other Dent,Patients,Students,Blog,Subscribe,Search register,Login,Dental Appoitment book,Regulations / Legal Document hub,Forum/Community Section ,E-learning / Webinar,Events (offline),Perks/Discounts,Jobs,Small Ads (D2D),State-Assoc,News Updates,Membership Information,Courses/Trainings,Employment gudelines,Job posts,Journals/Magazine,Informationl & health content,Dentist search,emergency search
Austria,Austrian Dental Chamber (Österreichische Zahnärztekammer),https://www.facebook.com/OEZAEK/,5-10 annual,-,-,-,-,-,-,-,-,zahnaerztekammer.at,74,"224,000","1,300",Yes,Yes,Yes,NO,Yes,Yes,Yes,NO,NO,Yes,NO,Yes,Yes,NO,NO,NO,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, 4-times",Yes,Yes,Yes
Belgium,Belgian Dental Chamber (Chambre de Médecine Dentaire),https://www.facebook.com/cmdasbl/,1-2 annual,-,-,-,-,-,-,-,-,lacmd.be,15,196,30,Yes,NO,NO,Yes,Yes,NO,NO,Yes,NO,Yes,NO,NO,Yes,NO,NO,NO,NO,,,,,,,,,
Bulgaria,Bulgarian Dental Association (Български Зъболекарски Съюз),https://www.facebook.com/p/%D0%91%D1%8A%D0%BB%D0%B3%D0%B0%D1%80%D1%81%D0%BA%D0%B8-%D0%B7%D1%8A%D0%B1%D0%BE%D0%BB%D0%B5%D0%BA%D0%B0%D1%80%D1%81%D0%BA%D0%B8-%D1%81%D1%8A%D1%8E%D0%B7-100079866402557/,20 - 30 annual,-,-,-,-,-,-,-,-,bzs.bg,47,"23,000",235,Yes,NO,NO,NO,Yes,NO,NO,NO,NO,Yes,NO,NO,Yes,NO,NO,NO,Yes,,,,,,,,,
Croatia,Croatian Dental Chamber,https://www.facebook.com/HrvatskaKomoraDentalneMedicine/,200-300 annual,-,-,-,-,-,-,https://www.youtube.com/@hrvatskakomoradentalnemedi2392,last post 2018,hkdm.hr,38,"6,300",157,Yes,Yes,NO,NO,Yes,NO,NO,Yes,NO,Yes,NO,Yes,Yes,Yes,Yes,NO,NO,,,,,,,,,
Czechia,Czech Dental Chamber (Česká stomatologická komora),https://www.facebook.com/CeskaStomatologickaKomora/?locale=cs_CZ,20 - 30 annual,-,-,https://www.linkedin.com/company/dent-cz,no activity,https://x.com/stomatologove,last post 2019,-,-,dent.cz,66,"23,000",784,Yes,NO,Yes,NO,Yes,NO,Yes,NO,NO,Yes,NO,Yes,Yes,Yes,Yes,Yes,NO,,,,,,,,,
Denmark,Danish Dental Association (Tandlægeforeningen),https://www.facebook.com/Odontologerne/,200-300 annual,https://www.instagram.com/odontologerne/,370,-,-,https://x.com/tandlaegerne,40-50,https://www.youtube.com/@Tandlageforeningen,last post 2020,tandlaegeforeningen.dk,73,"10,000",961,Yes,Yes,Yes,NO,Yes,NO,Yes,Yes,NO,Yes,NO,Yes,Yes,Yes,Yes,NO,NO,,,,,,,,,
Finland,Finnish Dental Association (Suomen Hammaslääkäriliitto),,,,,,,,,,,hammaslaakariliitto.fi,59,"8,300",424,Yes,NO,Yes,NO,Yes,Yes,Yes,Yes,NO,Yes,NO,Yes,Yes,Yes,Yes,NO,NO,,,,,,,,,
France,French Dental Association (Association Dentaire Française),,,,,,,,,,,adf.asso.fr,62,"429,000",587,Yes,NO,Yes,NO,Yes,Yes,NO,Yes,NO,Yes,NO,Yes,Yes,Yes,NO,NO,NO,,,,,,,,,
Germany,German Dental Association (Bundeszahnärztekammer),,,,,,,,,,,bzaek.de,79,"38,000","4,200",Yes,Yes,Yes,NO,Yes,NO,Yes,Yes,NO,Yes,NO,Yes,Yes,NO,NO,NO,Yes,,,,,,,,,
